,Terrane,ROCKNAME,-10.3,COMPONENT,TESTS,TILT,SLAT,SLONG,B,N,DEC,INC,abs(I),KD,ED95,PLAT,PLONG,DP,DM,A95,f,INCf,PLATf,PLONf,DPf,DMf,A95f,%REV,DEMAGCODE,40,24,10,16,2,3,4,5,6,7,Q(7),Grade,nominal age,lomagage,himagage,REF/method,ROCKNAME.1, POLE AUTHORS,YEAR,JOURNAL,VOLUME,VPAGES,TITLE,Overlap_Comment,Pole_citation_code,Geochron_citation_code,Notes_Changes_from_Leirubakki,Plate_ID
0,Laurentia-Wyoming,Stillwater Complex - C2,new,,,,45.2,249.2,,74.0,171.0,-63.0,63.0,32.0,2.9,-83.6,335.8,3.5839589181444294,4.559272060892802,4.042306737851977,1.0,-63.0,-83.6,335.8,3.6,4.6,4.069397989875161,100,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,A,2705.0,2701.0,2709.0,"2705±4, new",Stillwater Complex - C2,"Selkin, P.A., Gee, J.S., Meurer, W.P., Hemming, S.R.",2008.0,G-cubed,9,23pp,"Paleointensity record from the 2.7 Ga Stillwater Complex, Montana",Corresponds to Cenozoic/Present Local Field,\cite{Selkin2008a},,,10049
1,Laurentia-Superior(East),Otto Stock dikes and aureole,2629,N+R Component,"C*+,R-",0.0,48.0,279.900002,18.0,84.0,330.0,71.0,71.0,139.0,3.0,69.0,227.0,4.5,5.2,4.83735464897913,1.0,71.0,69.0,227.0,4.5,5.2,4.83735464897913,17or83,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0,B,2676.0,2671.0,2681.0,"2680±1 for stock, but lamprophyre dykes are younger (ca.2670-2675), J.Ayers, pers.comm. 2008",Otto Stock Dykes and Aureole,"Pullaiah,G., Irving,E.",1975.0,Canad.J.Earth Sci.,12,1609-1618,"Paleomagnetism of the contact aureole and late dikes of the Otto Stock, Ontario, and its application to Early Proterozoic apparent polar wandering",Overlaps with Cenozoic,\cite{Pullaiah1975b},,,10043
2,Laurentia-Slave,Defeat Suite,new,,C*+,0.0,62.5,245.5,5.0,58.0,2.0,-47.0,47.0,30.0,14.0,-1.0,64.0,15.0,15.0,15.0,1.0,-47.0,-1.0,64.0,15.0,15.0,15.0,0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,B,2625.0,2620.0,2630.0,"2625, U-Pb: 2628 pm 3, 2624 pm4",Defeat Suite,"Mitchell, R.N., Bleeker, W., Van Breemen, O., LeCheminant, A.N., Peng, P., Nilsson, M.K.M., Evans, D.A.D.",2014.0,Am. J. Sci.,314,878-894,Plate tectonics before 2.0 Ga: Evidence from paleomagnetism of cratons within supercontinent Nuna,,\cite{Mitchell2014a},\cite{Davis1999a},,10041
3,Laurentia-Superior(East),Ptarmigan-Mistassini dikes,new,,,0.0,54.0,287.0,3.0,18.0,49.6,46.1,46.1,0.1,1000.0,-45.3,213.0,13.8,13.8,13.8,1.0,46.1,-45.3,213.0,13.8,13.8,13.8,0or100,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,B,2505.0,2503.0,2507.0,"2505±2, ",PTARMIGAN MEAN,"Evans,D.A.D., Halls,H.C.",2010.0,Precambrian Res.,183,474-489,Restoring Proterozoic deformation within the Superior craton,,\cite{Evans2010a},,,10043
4,Laurentia-Superior(East),Matachewan dikes R,new,,C+,0.0,48.0,278.0,,1000.0,207.6,-16.6,16.6,1000.0,0.1,-44.1,238.3,1.6,1.6,1.6,1.0,-16.6,-44.1,238.3,1.6,1.6,1.6,0or100,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,6.0,A,2466.0,2443.0,2489.0,"two ages, both U-Pb(z)",MATACHEWAN R,"Evans,D.A.D., Halls,H.C.",2010.0,Precambrian Res.,183,474-489,Restoring Proterozoic deformation within the Superior craton,,\cite{Evans2010a},,,10043
5,Laurentia-Superior(East),Matachewan dikes N,new,,C+,0.0,48.0,278.0,,1000.0,23.3,29.1,29.1,1000.0,0.1,-52.3,239.5,2.4,2.4,2.4,1.0,29.1,-52.3,239.5,2.4,2.4,2.4,0or100,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,6.0,A,2446.0,2443.0,2449.0,"2446±3, ",MATACHEWAN N,"Evans,D.A.D., Halls,H.C.",2010.0,Precambrian Res.,183,474-489,Restoring Proterozoic deformation within the Superior craton,,\cite{Evans2010a},,,10043
6,Laurentia-Slave,Malley dikes,13555,,C*+,0.0,64.2,249.8,9.0,45.0,138.3,-53.8,53.8,81.0,5.8,-50.8,310.0,6.7,6.7,6.7,1.0,-53.8,-50.8,310.0,6.7,6.7,6.7,0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,A,2231.0,2229.0,2233.0,"2231, U-Pb (b); authors",Malley dykes,"Buchan, K., LeCheminant, A.N., van Breemen, O.",2012.0,Can. J. Earth Sci.,49,435-454,"Malley diabase dykes of the Slave craton, Canadian Shield: U-Pb age, paleomagnetism, and implications for continental reconstructions in the early Paleoproterozoic",Corresponds with Mesozoic APWP,\cite{Buchan2012a},U–Pb baddeleyite date of 2231 ± 2 Ma in \cite{Buchan2012a},,10041
7,Laurentia-Superior(East),Senneterre dikes,B+93,,C+,0.0,49.0,283.0,6.0,1000.0,358.6,-43.9,43.9,1000.0,0.1,-15.3,284.3,4.4,7.0,5.549774770204643,1.0,-43.9,-15.3,284.3,6.0,6.0,6.0,MIXED,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,A,2218.0,2212.0,2224.0,"2216+8/-4, ",SENNETERRE,Buchan et al.,1993.0,Can. J. Earth Sci.,30,1286-1296,Northeast-trending Early Proterozoic dykes of southern Superior Province: multiple episodes of emplacement recognized from integrated paleomagnetism and U-Pb geochronology,,\cite{Buchan1993a},,changed dp/dm to match Buchan1993,10043
8,Laurentia-Superior(East),Nipissing N1 sills,B+00,,C+,0.0,47.0,279.0,,1000.0,7.4,-43.9,43.9,1000.0,0.1,-17.0,272.0,10.0,10.0,10.0,1.0,-43.9,-17.0,272.0,10.0,10.0,10.0,MIXED,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,A,2217.0,2213.0,2221.0,"2217±4, ",NIPISSING N1,Buchan et al.,2000.0,Tectonophysics,319,167-198,Comparing the drift of Laurentia and Baltica in the Proterozoic: the importance of key palaeomagnetic poles,,\cite{Buchan2000a},,,10043
9,Laurentia-Slave,Dogrib dikes,9406,,C+,0.0,62.5,245.5,14.0,134.0,302.0,33.0,33.0,34.0,7.0,-31.0,315.0,7.0,7.0,7.0,1.0,33.0,-31.0,315.0,7.0,7.0,7.0,0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,6.0,A,2193.0,2191.0,2195.0,"2193, U-Pb (b); authors",Dogrib dykes,"Mitchell, R.N., Bleeker, W., Van Breemen, O., LeCheminant, A.N., Peng, P., Nilsson, M.K.M., Evans, D.A.D.",2014.0,Am. J. Sci.,314,878-894,Plate tectonics before 2.0 Ga: Evidence from paleomagnetism of cratons within supercontinent Nuna,,\cite{Mitchell2014a},U–Pb baddeleyite date 2193 ± 2 Ma in \cite{Mitchell2014a},,10041
10,Laurentia-Superior(East),Biscotasing dikes,new,,C+,0.0,48.0,280.0,12.0,1000.0,263.9,60.4,60.4,1000.0,0.1,26.0,223.9,7.0,7.0,7.0,1.0,60.4,26.0,223.9,7.0,7.0,7.0,0or100,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,6.0,A,2169.5,2167.0,2172.0,"2167-2172, range of ages summarized in Halls et al. 2008",BISCOTASING,"Evans,D.A.D., Halls,H.C.",2010.0,Precambrian Res.,183,474-489,Restoring Proterozoic deformation within the Superior craton,,\cite{Evans2010a},,,10043
11,Laurentia-Wyoming,"Rabbit Creek, Powder River and South Path dikes",new,,"C+,Rc
",100.0,43.9,252.8,13.0,81.0,212.8,-59.0,59.0,48.5,6.0,65.5,339.2,7.6,7.6,7.6,1.0,-59.0,65.5,339.2,7.6,7.6,7.6,"15or85
",4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,A,2160.0,2152.0,2171.0,"U-Pb baddeleyite: 2156+/-3  2154+/-3  2158+/-4  2164+/-7  2164+/-7 Ma
","Rabbit Creek, Powder River and South Path Dykes","Kilian, T.M., Bleeker, W., Chamberlain, K., Evans, D.A.D., Cousens, B.
",2015.0,"Geological Society, London, Special Publications",424,15–45,"Palaeomagnetism, geochronology and geochemistry of the Palaeoproterozoic Rabbit Creek and Powder River dyke swarms: implications for Wyoming in supercraton Superia",,\cite{Kilian2015a},,,10049
12,Laurentia-Slave,Indin dikes,9484,,C+,0.0,62.5,245.6,18.0,1000.0,300.0,-70.0,70.0,62.0,4.0,-36.0,256.0,7.0,7.0,7.0,1.0,-70.0,36.0,76.0,7.0,7.0,7.0,33or67,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,A,2126.0,2108.0,2129.0,"2126±3, U-Pb (b); authors and unpublished abstract cited therein",Indin dykes ,"Buchan, Kenneth L. and Mitchell, Ross N. and Bleeker, Wouter and Hamilton, Michael A. and LeCheminant, Anthony N.",2016.0,Precambrian Research,275,151-175,"Paleomagnetism of ca. 2.13–2.11 Ga Indin and ca. 1.885 Ga Ghost dyke swarms of the Slave craton: Implications for the Slave craton APW path and relative drift of Slave, Superior and Siberian cratons in the Paleoproterozoic",,\cite{Buchan2016a},"U–Pb baddeleyite date of 2126 ± 3, U-Pb \cite{Buchan2016a} and unpublished abstract cited in text",,10041
13,Laurentia-Superior(West),Marathon dikes N,H+08,,,0.0,49.0,275.0,,1000.0,296.9,59.2,59.2,1000.0,0.1,45.4,198.2,7.7,7.7,7.7,1.0,59.2,45.4,198.2,7.7,7.7,7.7,0or100,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,A,2123.5,2121.0,2126.0,"2121-2126, ",MARATHON N,"Halls,H.C., Davis,D.W., Stott,G.M., Ernst,R.E., Hamilton,M.A.",2008.0,Precambrian Res.,162,327-353,The Paleoproterozoic Marathon Large Igneous Province: New evidence for a 2.1 Ga long-lived mantle plume event along the southern margin of the North American Superior Province,Overlaps with Keweenawan Track,\cite{Halls2008a},,,10023
14,Laurentia-Superior(West),Marathon dikes R,H+08,,C+,0.0,49.0,275.0,,1000.0,134.4,-56.4,56.4,1000.0,0.1,55.1,182.2,7.5,7.5,7.5,1.0,-56.4,55.1,182.2,7.5,7.5,7.5,0or100,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,A,2103.5,2101.0,2106.0,"2101-2106, ",MARATHON R,"Halls,H.C., Davis,D.W., Stott,G.M., Ernst,R.E., Hamilton,M.A.",2008.0,Precambrian Res.,162,327-353,The Paleoproterozoic Marathon Large Igneous Province: New evidence for a 2.1 Ga long-lived mantle plume event along the southern margin of the North American Superior Province,Overlaps with Mesozoic APWP,\cite{Halls2008a},,,10023
15,Laurentia-Superior(West),Cauchon Lake dikes,new,,C+,0.0,56.0,263.0,,1000.0,123.3,-63.9,63.9,1000.0,0.1,53.8,180.9,7.7,7.7,7.7,1.0,-63.9,53.8,180.9,7.7,7.7,7.7,0or100,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,A,2091.0,2089.0,2093.0,"2091±2, ",CAUCHON LAKE,"Evans,D.A.D., Halls,H.C.",2010.0,Precambrian Res.,183,474-489,Restoring Proterozoic deformation within the Superior craton,Overlaps with Mesozoic APWP,\cite{Evans2010a},,,10023
16,Laurentia-Superior(West),Fort Frances dikes,new,,,0.0,48.0,266.0,,1000.0,117.2,-54.8,54.8,1000.0,0.1,42.8,184.6,6.1,6.1,6.1,1.0,-54.8,42.8,184.6,6.1,6.1,6.1,0or100,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,A,2076.5,2072.0,2081.0,"2076+5/-4, ",FORT FRANCES,"Evans,D.A.D., Halls,H.C.",2010.0,Precambrian Res.,183,474-489,Restoring Proterozoic deformation within the Superior craton,Overlaps with Keweenawan Track,\cite{Evans2010a},,,10023
17,Laurentia-Superior(East),Lac Esprit dikes,new,,,0.0,53.0,282.0,8.0,82.0,146.9,-56.4,56.4,1000.0,0.1,62.0,170.5,6.4,6.4,6.4,1.0,-56.4,62.0,170.5,6.4,6.4,6.4,0or100,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,5.0,A,2069.0,2068.0,2070.0,"2069±1, ",LAC ESPRIT,"Evans,D.A.D., Halls,H.C.",2010.0,Precambrian Res.,183,474-489,Restoring Proterozoic deformation within the Superior craton,Overlaps with Cenozoic,\cite{Evans2010a},,,10043
18,Laurentia-Greenland-Nain,Kangamiut dikes,3222,,,0.0,66.0,307.0,23.0,157.0,220.0,56.0,56.0,190.0,2.1,17.1,273.799988,2.2,3.2,2.65329983228432,1.0,56.0,17.1,273.799988,2.2,3.2,2.65329983228432,0or100,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,B,2042.0,2030.0,2054.0,"2543, 2766, mixed polarity?",Kangamiut Dykes,"Fahrig, W.F., Bridgwater, D.",1976.0,Early Hist. of Earth,,427-439,Late Archean-Early Proterozoic paleomagnetic pole positions from West Greenland,Looks like Victoria Fjord and Tobacco Root,\cite{Fahrig1976b},,,10032
19,Laurentia-Slave,Lac de Gras dikes,100035,,"C*+,C+",0.0,64.4,249.6,10.0,54.0,338.2,-55.3,55.3,68.0,5.9,11.8,267.9,6.0,8.4,7.0992957397195395,1.0,-55.3,11.8,267.9,6.0,8.4,7.0992957397195395,0or100,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,6.0,A,2026.0,2021.0,2031.0,"2023±2, 2027±4 U-Pb baddeleyite, Buchan+09 CJES",Lac de Gras dykes,"Buchan,K.L., LeCheminant,A.N., van Breemen,O.",2009.0,Canad.J.Earth Sci.,46,361-379,"Paleomagnetism and U-Pb geochronology of the Lac de Gras diabase dyke swarm, Slave Province, Canada: implications for relative drift of Slave and Superior provinces in the Paleoproterozoic",,\cite{Buchan2009a},U–Pb baddeleyite ages of 2023 ± 2 and 2027 ± 4 Ma in \cite{Buchan2009a},,10041
20,Laurentia-Superior(East),Minto dikes,new,,,0.0,57.0,285.0,6.0,44.0,130.0,-37.2,37.2,1000.0,0.1,38.7,171.5,13.1,13.1,13.1,1.0,-37.2,38.7,171.5,13.1,13.1,13.1,MIXED,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,5.0,A,1998.0,1996.0,2000.0,"1998±2, ",MINTO,"Evans,D.A.D., Halls,H.C.",2010.0,Precambrian Res.,183,474-489,Restoring Proterozoic deformation within the Superior craton,Overlaps with Keweenawan Track,\cite{Evans2010a},,,10043
21,Laurentia-Slave,Rifle Formation,5915,,"Ro,C*+ (baked contact test with intruding Mara River Sheet at 1870 Ma)",100.0,65.900002,252.900002,22.0,65.0,86.0,25.0,25.0,12.0,9.0,14.0,341.0,6.0,10.0,7.745966692414834,0.6,37.9,20.9,337.5,6.3,10.6,8.2,23,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0,B,1963.0,1957.0,1969.0,"1963±6, Bowring+Grotz 92",Rifle (Western River) Formation,"Evans,M.E., Hoye,G.S.",1981.0,Geol.Surv.Canada Paper 81-10,,191-202,"Paleomagnetic results from the Lower Proterozoic rocks of Great Slave Lake and Bathurst Inlet areas, Northwest Territories",,\cite{Evans1981a},,,10041
22,Laurentia-Rae,Clearwater Anorthosite,8429,A Magnetization,,0.0,57.099998,251.599998,8.0,115.0,112.300003,38.0,38.0,315.799988,3.1,6.5,311.799988,2.2,3.7,2.8530685235374214,1.0,38.0,6.5,311.799988,2.2,3.7,2.8530685235374214,0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,B,1917.0,1910.0,1924.0,"1917±7, GPMDB4.6",Clearwater Anorthosite,"Halls,H.C., Hanes,J.A.",1999.0,Tectonophysics,312,235-248,"Paleomagnetism, anisotropy of magnetic susceptibility and argon-argon geochronology of the Clearwater anorthosite, Saskatchewan, Canada",,\cite{Halls1999a},Ar-Ar hornblende plateau in \cite{Halls1999a} interpretted as age of remanence,,10640
23,Laurentia-Wyoming,Sourdough mafic dike swarm,new,,"C+,Ro",0.0,44.7,-108.3,16.0,109.0,65.1,75.2,75.2,21.8,4.7,49.2,292.0,8.1,8.1,8.1,1.0,75.2,49.2,292.0,8.1,8.1,8.1,6or94,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0,A,1899.0,1894.0,1904.0,"U-Pb baddeleyite: 1899+/-5 Ma
",Sourdough mafic dike swarm,"Kilian, T.M., Chamberlain, K.R., Evans, D.A.D., Bleeker, W., Cousens, B.L.",2016.0,Geology,44,863–866,Wyoming on the run—Toward  nal Paleoproterozoic assembly of Laurentia,Overlaps with Ediacaran poles,\cite{Kilian2016b},,,10049
24,Laurentia-Slave,Ghost Dike Swarm,new,,C+,0.0,62.6,244.6,23.0,1000.0,350.0,-48.0,48.0,32.0,5.0,-2.0,286.0,6.0,6.0,6.0,1.0,-48.0,2.0,106.0,6.0,6.0,6.0,74,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0,A,1887.0,1878.0,1892.0,"1887±5, 1884±6 U-Pb baddeleyite; authors and unpublished abstract cited therein",Ghost Dike Swarm,"Buchan, Kenneth L. and Mitchell, Ross N. and Bleeker, Wouter and Hamilton, Michael A. and LeCheminant, Anthony N.",2016.0,Precambrian Research,275,151-175,"Paleomagnetism of ca. 2.13–2.11 Ga Indin and ca. 1.885 Ga Ghost dyke swarms of the Slave craton: Implications for the Slave craton APW path and relative drift of Slave, Superior and Siberian cratons in the Paleoproterozoic",Corresponds with Devonian pole,\cite{Buchan2016a},,,10041
25,Laurentia-Slave,Mean Seton/Akaitcho/Mara,new,,C*+,100.0,65.0,250.0,82.0,1000.0,169.5,34.0,34.0,1000.0,0.1,-6.0,260.0,4.0,4.0,4.0,1.0,34.0,-6.0,260.0,4.0,4.0,4.0,MIXED,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,B,1885.0,1880.0,1890.0,"regional correlations, Bowring+Grotz 92; Ghost dykes REF",MEAN Seton/Akaitcho/Mara,"Mitchell,R.N., Hoffman,P.F., Evans,D.A.D.",2010.0,Precambrian Res.,179,121-134,Coronation loop resurrected: Oscillatory apparent polar wander of Orosirian (2.05–1.8 Ga) paleomagnetic poles from Slave craton,,\cite{Mitchell2010c},,,10041
26,Laurentia-Slave,"Mean Kahochella, Peacock Hills",new,,,100.0,65.0,250.0,33.0,1000.0,145.4,16.9,16.9,1000.0,0.1,-12.0,285.0,7.0,7.0,7.0,0.6,26.9,-6.6,283.7,4.1,7.6,5.6,MIXED,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,5.0,B,1882.0,1878.0,1886.0,"regional correlations, Bowring+Grotz 92","MEAN Kahochella, Peacock Hills","Mitchell,R.N., Hoffman,P.F., Evans,D.A.D.",2010.0,Precambrian Res.,179,121-134,Coronation loop resurrected: Oscillatory apparent polar wander of Orosirian (2.05–1.8 Ga) paleomagnetic poles from Slave craton,,\cite{Mitchell2010c},,,10041
27,Laurentia-Superior(West),Molson (B+C2) dikes,new,,C+,0.0,55.0,262.0,,1000.0,248.6,66.7,66.7,1000.0,0.1,28.9,218.0,3.8,3.8,3.8,1.0,66.7,28.9,218.0,3.8,3.8,3.8,MIXED,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,A,1878.5,1873.0,1884.0,"1877+7/-4, ",MOLSON B+C2,"Evans,D.A.D., Halls,H.C.",2010.0,Precambrian Res.,183,474-489,Restoring Proterozoic deformation within the Superior craton,,\cite{Evans2010a},,,10023
28,Laurentia-Slave,"Douglas Peninsula Formation, Pethei Group",16,High temp.,Ro,100.0,62.799999,249.699997,6.0,43.0,172.0,18.0,18.0,14.0,19.0,-18.0,258.0,10.2,19.700001,14.17533104375344,0.8,22.1,-15.5,257.8,10.6,20.1,14.6,33,3.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,5.0,B,1876.0,1866.0,1886.0,"correlation across Slave:  older than 1870±4; younger than 1882±4, Davis+Bleeker 07 GAC abst, correln Mitchell+10","Douglas Peninsula Formation, Pethei Group","Irving,E., McGlynn,J.C.",1979.0,Geophys.J.Roy.Astron.Soc.,58,309-336,Palaeomagnetism in the Coronation Geosyncline and arrangements of continents in the middle Proterozoic,,\cite{Irving1979a},,,10041
29,Laurentia-Slave,Takiyuak Formation,18,,Ro,100.0,66.099998,246.900002,17.0,111.0,178.0,19.0,19.0,15.0,10.0,-13.0,249.0,8.0,8.0,8.0,0.6,29.9,-7.9,248.8,6.1,11.1,8.3,18,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,6.0,B,1876.0,1866.0,1886.0,"correlation across Slave:  older than 1870±4; younger than 1882±4, Davis+Bleeker 07 GAC abst, correln Mitchell+10",Takiyuak Formation,"Irving,E., McGlynn,J.C.",1979.0,Geophys.J.Roy.Astron.Soc.,58,309-336,Palaeomagnetism in the Coronation Geosyncline and arrangements of continents in the middle Proterozoic,,\cite{Irving1979a},,,10041
30,Laurentia-Superior,Haig/Flaherty/Sutton Mean ,new,site-weighted VGP means from 3 results,"C+,F+,Rc",100.0,56.2,281.0,27.0,100.0,38.7,-47.8,47.8,1000.0,0.1,1.0,245.8,3.9,3.9,3.9,1.0,3.5,-13.0,249.0,8.0,8.0,8.0,MIXED,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,B,1870.0,1869.0,1871.0,"1870±1, Hamilton+09 GAC",MEAN Haig/Flaherty/Sutton,LULEÅ WORKING GROUP MEAN,2009.0,,,,,,"Nordic workshop calculation based on data of \cite{Schmidt1980a, Schwarz1982a}",,,10023
31,Laurentia-Slave,Pearson A/Peninsular/Kilohigok sills,new,,C+,,65.0,250.0,22.0,1000.0,162.4,3.5,3.5,1000.0,0.1,-22.0,269.0,6.0,6.0,6.0,1.0,-47.8,1.0,245.8,3.9,3.9,3.9,MIXED,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,6.0,A,1870.0,1866.0,1874.0,"U-Pb on Kilohigok (Mara River) sill; Peninsular Sill, Davis+Bleeker 07 GAC abst",MEAN Pearson A/Peninsular sill/Kilohigok basin sill,"Mitchell,R.N., Hoffman,P.F., Evans,D.A.D.",2010.0,Precambrian Res.,179,121-134,Coronation loop resurrected: Oscillatory apparent polar wander of Orosirian (2.05–1.8 Ga) paleomagnetic poles from Slave craton,,\cite{Mitchell2010c},,,10041
32,Laurentia-Trans-Hudson orogen,Boot-Phantom Pluton,8359,,"Rc,C+",0.0,54.700001,258.099998,18.0,90.0,46.700001,83.199997,83.199997,72.0,4.1,62.400002,275.4,7.9,8.0,7.9498427657407165,1.0,83.199997,62.400002,279.399994,7.9,8.0,7.9498427657407165,6,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,6.0,B,1838.0,1837.0,1839.0,", GPMDB4.6",Boot-Phantom Pluton,"Symons,D.T.A., Mackay,C.D.",1999.0,Basement Tectonics,13,313-331,"Paleomagnetism of the Boot-Phantom pluton and the amalgamation of the Juvenile domains in the Paleoproterozoic Trans-Hudson Orogen, Canada",,\cite{Symons1999a},,,1000
33,Laurentia-Rae,Sparrow dikes,2642,,"Co,Ro",0.0,61.599998,250.199997,10.0,54.0,131.0,51.0,51.0,50.0,7.0,12.0,291.0,6.6,9.4,7.876547467006087,1.0,51.0,12.0,291.0,6.6,9.4,7.876547467006087,20,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,5.0,B,1827.0,1823.0,1831.0,"1827±4, new",Sparrow Dykes,"McGlynn,J.C., Hanson,G.N., Irving,E., Park,J.K.",1974.0,Canad.J.Earth Sci.,11,30-42,"Paleomagnetism and age of Nonacho Group Sandstones and associated Sparrow dikes, District of Mackenzie",Overlaps with Siluro-Devonian path,\cite{McGlynn1974a},,,10640
