,Terrane,ROCKNAME,-10.3,COMPONENT,TESTS,TILT,SLAT,SLONG,B,N,DEC,INC,abs(I),KD,ED95,PLAT,PLONG,DP,DM,A95,f,INCf,PLATf,PLONf,DPf,DMf,A95f,%REV,DEMAGCODE,40,24,10,16,2,3,4,5,6,7,Q(7),Grade,nominal age,lomagage,himagage,REF/method,ROCKNAME.1, POLE AUTHORS,YEAR,JOURNAL,VOLUME,VPAGES,TITLE,Overlap_Comment,Pole_citation_code,Geochron_citation_code,Notes_Changes_from_Leirubakki,Plate_ID
34,Laurentia-Rae,Martin Formation,2659,,"F+,Ro",100.0,59.599998,251.400002,15.0,56.0,322.5,-29.4,29.4,15.0,10.4,-9.0,288.0,6.3,11.5,8.511756575466665,0.6,-43.2,-0.2,104.8,8.0,12.9,10.2,60,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,5.0,A,1818.0,1814.0,1822.0,"1818±4, NEW",Martin Formation,"Evans,M.E., Bingham,D.K.",1973.0,Canad.J.Earth Sci.,10,1485-1493,"Paleomagnetism of the Precambrian Martin Formation, Saskatchewan",Overlaps with Siluro-Devonian path,\cite{Evans1973a},,,10640
35,Laurentia,Dubawnt Group,2737,,"C+,Rc",100.0,64.099998,265.599998,30.0,130.0,347.0,-50.0,50.0,17.0,7.0,7.0,277.0,8.0,8.0,8.0,0.6,-63.3,-19.4,95.3,8.7,11.0,9.8,63,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0,B,1785.0,1750.0,1820.0,"possibly ca.1750 ovp (Th.Raub 08 PhD thesis); ages from eastern Baker Lake ca.1810 Ma, Rainbird ages, Th.Raub thesis",Dubawnt Group,"Park,J.K., Irving,E., Donaldson,J.A.",1973.0,Geol.Soc.Amer.Bull.,84,859-870,Paleomagnetism of the Dubawnt Group,Overlaps with a Devonian pole,\cite{Park1973a},,,1000
36,Laurentia,East Central Minnesota Batholith,,,,0.0,45.5,265.8,,,,,,,,20.4,265.8,,,4.5,,,,,,,,,,1.0,,,,,,,,,,,NR,1779.0,1781.0,1777.0,,,,,,,,,,\cite{Swanson-Hysell2021b},,,1000
37,Laurentia-Trans-Hudson orogen,Deschambault Pegmatites,8889,,,0.0,54.900002,256.699997,18.0,168.0,28.299999,82.099998,82.099998,77.5,4.0,67.5,276.0,7.6,7.8,7.699350621968063,1.0,82.099998,67.5,276.0,7.6,7.8,7.699350621968063,0or100,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,5.0,B,1766.0,1761.0,1771.0,", GPMDB4.6",Deschambault Pegmatites,"Symons, D.T.A., Symons, T.B., Lewchuk, M.T.",2000.0,Phys.Chem.Earth(A),25,479-487,"Paleomagnetism of the Deschambault Pegmatites: Stillstand and Hairpin at the end of the Paleoproterozoic Trans-Hudson Orogeny, Canada",,\cite{Symons2000a},not directly dated; dated elsewhere in domain by \cite{Chiarenzelli1989a},,1000
38,Laurentia-Trans-Hudson orogen,Jan Lake Granite,new,A component,,0.0,54.900002,257.199997,10.0,1000.0,166.7,73.2,73.2,27.6,10.0,24.3,264.3,16.0,17.9,16.923356641044943,1.0,73.2,24.3,264.3,16.0,17.9,16.923356641044943,0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,B,1758.0,1757.0,1759.0,"1758±1, Bickford+05",Jan Lake Granite,"Gala,M.G., Symons,D.T.A., Palmer,H.C.",1995.0,"Saskatchewan Geol.Surv.Misc.Rpt., 95-4",,145-152,"Paleomagnetism of the Jan Lake Granite, Trans-Hudson Lake Orogen",,\cite{Gala1995a},\cite{Bickford2005a},Gala et al. 1995 make a division between VGPs based on their directions. This division doesn't correspond to lithology. They calculate two distinct poles (as well as an overall mean pole). It is unclear which one of these should be paired with the 1758± Bickford et al. (2005) date. For some reason the A grouping was chosen in the Nordic compilation.,1000
39,Laurentia,Cleaver dikes,9139,,"C+, C*+",0.0,67.5,241.970001,17.0,102.0,136.5,57.400002,57.400002,64.0,4.5,19.4,276.700012,6.1,6.1,6.1,1.0,57.400002,19.4,276.700012,6.1,6.1,6.1,0or100,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,6.0,A,1740.5,1736.0,1745.0,"ok, GPMDB4.6",Cleaver Dykes,"Irving,E., Baker,J., M. Hamilton,M., Wynne,P.J.",2004.0,Precambrian Res.,129,251-270,"Early Proterozoic geomagnetic field in western Laurentia: implications for paleolatitudes, local rotations and stratigraphy",,\cite{Irving2004a},,,1000
40,Laurentia-Greenland,Melville Bugt diabase dikes,100377,,,0.0,74.5834,302.974,9.0,54.0,33.1,-31.2,31.2,29.0,0.1,5.0,273.8,8.7,8.7,8.7,1.0,-31.2,5.0,273.8,8.7,8.7,8.7,44or56,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,6.0,B,1633.0,1628.0,1638.0,"U-Pb badd (1635 +/- 2.7; 1632 +/- 1.1; 1629.4 +/- 0.8), mixed polarity ",Melville Bugt diabase,"Halls, Hamilton and Denyszyn",2011.0,Dyke Swarms: Keys for Geodynamic Interpretation,,,,,\cite{Halls2011a},,update to correct reference,10032
41,Laurentia,Western Channel Diabase,2669,,"Co,C+ in Irving+04",0.0,66.400002,242.199997,35.0,130.0,356.0,-50.0,50.0,35.0,6.0,9.0,245.0,5.1,8.6,6.622688275919379,1.0,-50.0,9.0,245.0,5.1,8.6,6.622688275919379,100,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,5.0,A,1590.0,1587.0,1593.0,"ca.1590, GAC 07 Yellowknife",Western Channel Diabase,"Irving,E., Donaldson,J.A., Park,J.K.",1972.0,Canad.J.Earth Sci.,9,960-971,"Paleomagnetism of the Western Channel Diabase and associated rocks, Northwest Territories",,\cite{Irving1972a},,,1000
42,Laurentia,St.Francois Mountains Acidic Rocks,8932,,"C*+,F+,G+",100.0,37.5,269.5,18.0,103.0,233.399994,36.900002,36.900002,27.0,6.8,-13.2,219.0,4.7,8.0,6.131883886702357,1.0,36.900002,-13.2,219.0,4.7,8.0,6.131883886702357,0or100,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,6.0,A,1476.0,1460.0,1492.0,"ok, GPMDB4.6",St.Francois Mountains Acidic Rocks,"Meert, J.G., Stuckey, W.",2002.0,Tectonics,21(2),"1007, doi:10.1029/2000TC001265","Revisiting the paleomagnetism of the 1.476 Ga St.Francois Mountains igneous province, Missouri.",,\cite{Meert2002b},"""The St. Francois Mountains (SFM) region of Missouri is a
1476 ± 16 Ma igneous province in central Laurentia (Figure 1;
mean age compiled from Van Schmus et al. [1993]""",,1000
43,Laurentia,Michikamau Intrusion,2274,Combined Result,"C+,Ro",0.0,54.5,296.0,12.0,54.0,259.5,11.0,11.0,43.0,6.5,-1.5,217.5,3.3,6.6,4.666904755831213,1.0,11.0,-1.5,217.5,3.3,6.6,4.666904755831213,8,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,6.0,A,1460.0,1455.0,1465.0,"ok, GPMDB4.6",Michikamau Intrusion Combined,"Emslie,R.F., Irving,E., Park,J.K.",1976.0,Canad.J.Earth Sci.,13,1052-1057,"Further paleomagnetic results from the Michikamau Intrusion, Labrador",,\cite{Emslie1976a},,,1000
44,Laurentia,Spokane Formation,9039,Primary,F+,100.0,48.200001,246.800003,8.0,231.0,206.300003,23.700001,23.700001,86.400002,6.0,-24.799999,215.5,4.7,4.7,4.7,0.6,36.2,-17.8,220.9,4.1,7.0,5.3,0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,6.0,A,1457.5,1445.0,1470.0,"pre-1454±9, slightly revised from GPMDB4.6",Spokane Formation,"Elston, D.P., Enkin, R.J., Baker, J., Kisilevsky, D.K.",2002.0,Geol.Soc.Amer.Bull.,114,619-638,"Tightening the Belt: Paleomagnetic-stratigraphic constraints on deposition, correlation, and deformation of the Middle Proterozoic (ca. 1.4 Ga) Belt-Purcell Supergroup, United States and Canada",,\cite{Elston2002a},,,1000
45,Laurentia,Snowslip Formation,9038,Primary,"F+,Ro",100.0,47.900002,245.900002,9.0,295.0,30.9,-20.6,20.6,128.800003,4.6,-24.9,210.199997,3.5,3.5,3.5,0.6,-32.1,-19.1,214.7,2.9,5.2,3.9,MIXED,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,A,1449.5,1436.0,1463.0,"1436-1463, new lomagage",Snowslip Formation,"Elston, D.P., Enkin, R.J., Baker, J., Kisilevsky, D.K.",2002.0,Geol.Soc.Amer.Bull.,114,619-638,"Tightening the Belt: Paleomagnetic-stratigraphic constraints on deposition, correlation, and deformation of the Middle Proterozoic (ca. 1.4 Ga) Belt-Purcell Supergroup, United States and Canada",,\cite{Elston2002a},,,1000
46,Laurentia,Tobacco Root dikes,new,,,0.0,47.4,247.6,14.0,157.0,225.0,61.8,61.8,27.9,7.7,8.7,216.1,9.222039104250246,11.917189358462581,10.48335758602638,1.0,61.8,8.7,216.1,9.2,11.9,10.5,43or57,4.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,B,1448.0,1399.0,1497.0,", new",Tobacco Root Dykes - A combined,"Harlan, S.S., Geissman, J.W., Snee, L.W.",2008.0,Precambrian Res.,163,239-264,"Paleomagnetism of Proterozoic mafic dikes from the Tobacco Root Mountains, southwest Montana",Overlaps with Nain Anorthosite,\cite{Harlan2008a},,,1000
47,Laurentia,Purcell Lava,9037,Primary,F+,100.0,49.400002,245.099998,10.0,166.0,26.6,-25.700001,25.700001,64.0,6.1,-23.6,215.600006,4.8,4.8,4.8,1.0,-25.700001,-23.6,215.600006,4.8,4.8,4.8,100,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,A,1443.0,1436.0,1450.0,"ok, GPMDB4.6",Purcell Lava,"Elston, D.P., Enkin, R.J., Baker, J., Kisilevsky, D.K.",2002.0,Geol.Soc.Amer.Bull.,114,619-638,"Tightening the Belt: Paleomagnetic-stratigraphic constraints on deposition, correlation, and deformation of the Middle Proterozoic (ca. 1.4 Ga) Belt-Purcell Supergroup, United States and Canada",,\cite{Elston2002a},,,1000
48,Laurentia,Rocky Mountain intrusions,new,"3 studies (Electra Lake 8342, Laramie anorthosite 7493, Sherman 7494)",Ro,0.0,40.3,253.8,58.0,434.0,41.1,-46.6,46.6,1000.0,0.1,-11.9,217.4,9.7,9.7,9.7,1.0,-46.6,-11.9,217.4,9.7,9.7,9.7,MIXED,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,5.0,B,1430.0,1415.0,1445.0,"1415-1445, range of ages",MEAN Rocky Mountain intrusions,LULEÅ WORKING GROUP MEAN,2009.0,,,,,,"Nordic workshop calculation based on data of \cite{Harlan1994a,Harlan1998a}",,,1000
49,Laurentia,Mistastin Pluton,2271,,Ro,0.0,55.599998,296.299999,7.0,35.0,93.5,7.0,7.0,48.5,8.8,-1.0,201.5,7.6,7.6,7.6,1.0,7.0,-1.0,201.5,7.6,7.6,7.6,87,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,B,1425.0,1400.0,1450.0,"ca.1420, unpubl Emslie in Gower+Krogh 02",Mistastin Pluton,"Fahrig,W.F., Jones,D.L.",1976.0,Canad.J.Earth Sci.,13,832-837,"The paleomagnetism of the Helikian Mistatin pluton, Labrador, Canada",,\cite{Fahrig1976a},,,1000
50,Laurentia,McNamara Formation,9031,,"F+,Rc",100.0,46.900002,246.400002,10.0,195.0,37.200001,-36.599998,36.599998,42.799999,7.5,-13.5,208.300003,6.7,6.7,6.7,0.6,-51.1,-4.5,215.4,6.9,10.1,8.4,70,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,A,1401.0,1395.0,1407.0,"1401±6, GPMDB4.6",McNamara Formation,"Elston, D.P., Enkin, R.J., Baker, J., Kisilevsky, D.K.",2002.0,Geol.Soc.Amer.Bull.,114,619-638,"Tightening the Belt: Paleomagnetic-stratigraphic constraints on deposition, correlation, and deformation of the Middle Proterozoic (ca. 1.4 Ga) Belt-Purcell Supergroup, United States and Canada",,\cite{Elston2002a},,,1000
51,Laurentia,"Pilcher, Garnet Range and Libby Formations",9030,,F+,100.0,46.700001,246.400002,4.0,76.0,28.4,-32.5,32.5,102.199997,9.1,-19.200001,215.300003,7.7,7.7,7.7,0.6,-46.7,11.0,41.1,7.6,11.7,9.4,100,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,6.0,A,1384.5,1362.0,1407.0,"ok, GPMDB4.6","Pilcher, Garnet Range and Libby Formations","Elston, D.P., Enkin, R.J., Baker, J., Kisilevsky, D.K.",2002.0,Geol.Soc.Amer.Bull.,114,619-638,"Tightening the Belt: Paleomagnetic-stratigraphic constraints on deposition, correlation, and deformation of the Middle Proterozoic (ca. 1.4 Ga) Belt-Purcell Supergroup, United States and Canada",,\cite{Elston2002a},,,1000
52,Laurentia-Greenland,Victoria Fjord dolerite dikes,489,,C+,0.0,81.5,315.299999,12.0,92.0,265.200012,21.5,21.5,60.0,5.6,10.3,231.699997,3.1,5.9,4.27668095606862,1.0,21.5,10.3,231.699997,3.1,5.9,4.27668095606862,0or100,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,6.0,B,1382.0,1380.0,1384.0,"correl'd to Midsommerso, corr.",Victoria Fjord Dolerite Dykes,"Abrahamsen, N., Van der Voo, R.",1987.0,Geophys.JRAS,91,597-611,Palaeomagnetism of middle Proterozoic (c.1.25 Ga) dykes from central North Greenland,,\cite{Abrahamsen1987a},,,10032
53,Laurentia-Greenland,Midsommersoe Dolerite,99,,,0.0,81.6,333.4,10.0,100.0,85.599998,-14.5,14.5,39.0,7.8,6.9,242.0,5.1,5.1,5.1,1.0,-14.5,6.9,242.0,5.1,5.1,5.1,0or100,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,5.0,B,1382.0,1380.0,1384.0,"1382±2, d",Midsommersoe Dolerite,"Marcussen, C., Abrahamsen, N.",1983.0,Geophys.JRAS,73,367-387,"Palaeomagnetism of the Proterozoic Zig-Zag Dal Basalt and the Midsommerso dolerites, eastern North Greenland",,\cite{Marcussen1983a},,,10032
54,Laurentia-Greenland,Zig-Zag Dal Basalts,98,,,0.0,81.199997,334.799999,19.0,135.0,93.599998,-22.0,22.0,37.0,5.5,12.0,242.800003,3.8,3.8,3.8,1.0,-22.0,12.0,242.800003,3.8,3.8,3.8,0or100,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,5.0,B,1382.0,1380.0,1384.0,"correl'd to Midsommerso, corr.",Zig-Zag Dal Basalts,"Marcussen, C., Abrahamsen, N.",1983.0,Geophys.JRAS,73,367-387,"Palaeomagnetism of the Proterozoic Zig-Zag Dal Basalt and the Midsommerso dolerites, eastern North Greenland",,\cite{Marcussen1983a},,,10032
55,Laurentia,Nain Anorthosite,2180,,Rb,0.0,56.5,298.200001,21.0,101.0,277.799988,17.4,17.4,116.0,3.0,11.7,206.699997,1.6,3.1,2.227105745132009,1.0,17.4,11.7,206.699997,1.6,3.1,2.227105745132009,24,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,5.0,B,1305.0,1290.0,1320.0,"ok; 1305±15, GPMDB4.6",Nain Anorthosite,"Murthy,G.S.",1978.0,Canad.J.Earth Sci.,15,516-525,Paleomagnetic results from the Nain anorthosite and their tectonic implications,,\cite{Murthy1978a},,,1000
56,Laurentia-Greenland,Kungnat Ring dike,2107,,,0.0,61.200001,311.700001,4.0,18.0,292.0,-15.4,15.4,455.0,4.3,3.4,198.699997,2.3,4.4,3.181194744117373,1.0,-15.4,3.4,198.699997,2.3,4.4,3.181194744117373,0or100,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,B,1275.0,1273.0,1277.0,"Upton+03, f",Kungnat Ring Dyke,"Piper, J.D.A., Stearn, J.E.F.",1977.0,Physics Earth Planet. Int.,14,345-358,"Palaeomagnetism of the dyke swarms of the Gardar Igneous Province, South Greenland",,\cite{Piper1977b},,,10032
57,Laurentia-Greenland,North Qoroq intrusives,6607,,,0.0,61.15,314.6,12.0,65.0,295.700012,2.5,2.5,15.0,12.0,13.2,202.600006,5.9,11.7,8.308429454475737,1.0,2.5,13.2,202.600006,5.9,11.7,8.308429454475737,8or92,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,5.0,B,1275.0,1274.0,1276.0,", f",North Qoroq Intr.,"Piper, J.D.A.",1992.0,Precambrian Res.,54,153-172,"The palaeomagnetism of major (Middle Proterozoic) igneous complexes, South Greenland and the Gardar apparent polar wander track",,\cite{Piper1992a},,,10032
58,Laurentia,Mackenzie dikes grand mean,B+00,"from Buchan+00, after Buchan+Halls 90",C+,0.0,65.0,250.0,5.0,1000.0,243.9,29.7,29.7,1000.0,0.1,4.0,190.0,5.0,5.0,5.0,1.0,29.7,4.0,190.0,5.0,5.0,5.0,0or100,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,6.0,A,1267.0,1265.0,1269.0,"ca.1267, GPMDB4.6",Mackenzie dykes grand mean,Buchan et al.,2000.0,Tectonophysics,319,167-198,Comparing the drift of Laurentia and Baltica in the Proterozoic: the importance of key palaeomagnetic poles,,\cite{Buchan2000a},,,1000
59,Laurentia-Greenland,West Gardar Dolerite dikes,2106,,,0.0,61.200001,311.700001,24.0,138.0,291.5,-3.3,3.3,11.0,9.4,8.700000000000001,201.699997,4.7,9.4,6.646803743153547,1.0,-3.3,8.700000000000001,201.699997,4.7,9.4,6.646803743153547,0or100,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,5.0,B,1243.5,1236.0,1251.0,"1236-1251, f",West Gardar Dolerite Dykes,"Piper, J.D.A., Stearn, J.E.F.",1977.0,Physics Earth Planet. Int.,14,345-358,"Palaeomagnetism of the dyke swarms of the Gardar Igneous Province, South Greenland",,\cite{Piper1977b},,,10032
60,Laurentia-Greenland,West Gardar Lamprophyre dikes,2108,,,0.0,61.200001,311.700001,9.0,51.0,284.799988,-8.600000000000001,8.600000000000001,28.0,10.0,3.2,206.399994,5.1,10.1,7.177046746399245,1.0,-8.600000000000001,3.2,206.399994,5.1,10.1,7.177046746399245,0or100,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,5.0,B,1238.0,1227.0,1249.0,"CHECK AGE, f",West Gardar Lamprophyre Dykes,"Piper, J.D.A., Stearn, J.E.F.",1977.0,Physics Earth Planet. Int.,14,345-358,"Palaeomagnetism of the dyke swarms of the Gardar Igneous Province, South Greenland",,\cite{Piper1977b},,,10032
61,Laurentia,Sudbury dikes Combined,2175,Combined Result,C+,0.0,46.299999,278.599998,52.0,205.0,265.200012,2.3,2.3,1000.0,3.5,-2.5,192.800003,2.5,2.5,2.5,1.0,2.3,-2.5,192.800003,2.5,2.5,2.5,0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,6.0,A,1237.0,1232.0,1242.0,"ok on age; demag good in Stupavsky+Symons 82; and also maybe Schwarz+Buchan 82, GPMDB4.6",Sudbury Dykes Combined,"Palmer,H.C., Merz,B.A., Hayatsu,A.",1977.0,Canad.J.Earth Sci.,14,1867-1887,"The Sudbury dikes of the Grenville Front region: paleomagnetism, petrochemistry, and K-Ar age studies",,\cite{Palmer1977a},,,1000
62,Laurentia-Scotland,Stoer Group,NEW,"sample-weighted mean of (Stewart+Irving 74, Smith+83, TS87 Achiltibuie, TS87 Stoer, Darabi+Piper 04, Borradaile+Geneviciene 08)",many,100.0,58.0,354.5,,610.0,310.8,34.7,34.7,1000.0,0.1,37.2,238.4,7.7,7.7,7.7,0.6,49.1,46.4,246.3,7.7,7.7,7.7,MIXED,4.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,5.0,B,1199.0,1129.0,1269.0,"1199±70, ",MEAN Stoer Group,LULEÅ WORKING GROUP MEAN,2009.0,,,,,Overlaps with Keweenawan Track,Nordic workshop calculation,,,10258
63,Laurentia-Greenland,Hviddal Giant dike,2132,,,0.0,60.900002,313.700001,7.0,38.0,294.299988,42.700001,42.700001,38.0,9.8,33.200001,215.300003,7.6,12.2,9.629122493768577,1.0,42.700001,33.200001,215.300003,7.6,12.2,9.629122493768577,0or100,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,5.0,B,1184.0,1179.0,1189.0,"1184±5, f",Hviddal Giant Dyke,"Piper, J.D.A.",1977.0,BGS Denmark,26,85-94,"Palaeomagnetism of the giant dykes of Tugtutoq and Narssaq Gabbro, Gardar Igneous Province, South Greenland",,\cite{Piper1977a},,,10032
64,Laurentia-Greenland,Narssaq Gabbro,2133,,,0.0,60.900002,313.799999,4.0,22.0,285.299988,46.79999900000001,46.79999900000001,97.0,9.4,31.6,225.399994,7.8,12.1,9.714936952960631,1.0,46.79999900000001,31.6,225.399994,7.8,12.1,9.714936952960631,0or100,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,B,1184.0,1179.0,1189.0,"1184±5 assoc'd with Hviddal giant dyke, f",Narssaq Gabbro,"Piper, J.D.A.",1977.0,BGS Denmark,26,85-94,"Palaeomagnetism of the giant dykes of Tugtutoq and Narssaq Gabbro, Gardar Igneous Province, South Greenland",,\cite{Piper1977a},,,10032
65,Laurentia-Greenland,South Qoroq Intr.,6610,,,0.0,61.15,314.6,9.0,67.0,299.899994,51.200001,51.200001,20.0,12.0,41.79999900000001,215.899994,10.8,15.9,13.104197800704934,1.0,51.200001,41.79999900000001,215.899994,10.8,15.9,13.104197800704934,0or100,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,5.0,A,1163.0,1161.0,1165.0,"1160±8 Rb-Sr, also 1163±2 U-Pb on assoc'd younger giant dykes, f",South Qoroq Intr.,"Piper, J.D.A.",1992.0,Precambrian Res.,54,153-172,"The palaeomagnetism of major (Middle Proterozoic) igneous complexes, South Greenland and the Gardar apparent polar wander track",,\cite{Piper1992a},,,10032
66,Laurentia-Greenland,Giant Gabbro dikes,2131,,,0.0,60.900002,313.700001,13.0,73.0,292.200012,56.5,56.5,30.0,7.6,42.29999900000001,226.100006,8.0,11.1,9.423375191511797,1.0,56.5,42.29999900000001,226.100006,8.0,11.1,9.423375191511797,0or100,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,5.0,B,1163.0,1161.0,1165.0,"1163±2, f",Giant Gabbro Dykes,"Piper, J.D.A.",1977.0,BGS Denmark,26,85-94,"Palaeomagnetism of the giant dykes of Tugtutoq and Narssaq Gabbro, Gardar Igneous Province, South Greenland",,\cite{Piper1977a},,,10032
67,Laurentia-Greenland,NE-SW Trending dikes,6609,,,0.0,61.15,314.6,18.0,102.0,282.899994,50.900002,50.900002,46.0,5.0,33.400002,230.800003,4.7,6.9,5.694734409961539,1.0,50.900002,33.400002,230.800003,4.7,6.9,5.694734409961539,0or100,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,5.0,B,1160.0,1155.0,1165.0,"younger than 1163 giant dykes, older than 1156±1 central Tugtutoq pluton, s",NE-SW Trending Dyke Swarm,"Piper, J.D.A.",1992.0,Precambr.Res.,54,153-172,"The palaeomagnetism of major (Middle Proterozoic) igneous complexes, South Greenland and the Gardar apparent polar wander track",,\cite{Piper1992a},,,10032
68,Laurentia,Ontario lamprophyre dikes,new,,"baked contact test, reversal test",0.0,48.8,273.3,19.0,121.0,306.4,72.1,72.1,30.5,8.4,58.0,223.3,9.2,9.2,9.2,,,,,,,,74,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,NR,1143.0,1131.0,1155.0,"1143 ± 12 U-Pb perovskite, 1145 + 15/10 U-Pb perovskite, 1141 ± 9 U-Pb perovskite, 1144 ± 7 40Ar/39Ar phlogopite dates in Queen et al. (1996)",Ontario lamprophyre dykes,Piispa et al,2018.0,,,,,,\cite{Piispa2018a},,"newly added (we should discuss rating — I think that 'A' makes sense given field tests, Q of 7 rating, and context although ages are a bit tricky)",1000
